indicator_id,country_id,year,value,magnitude,qualifier,indicator_desc
SCHBSP.2T3.WCOMPUT,EST,2010,100,NA,NA,Proportion of secondary schools with access to computers for pedagogical purposes (%)
SCHBSP.2T3.WCOMPUT,EST,2011,100,NA,NA,Proportion of secondary schools with access to computers for pedagogical purposes (%)
SCHBSP.2T3.WCOMPUT,EST,2012,100,NA,NA,Proportion of secondary schools with access to computers for pedagogical purposes (%)
SCHBSP.2T3.WCOMPUT,EST,2013,100,NA,NA,Proportion of secondary schools with access to computers for pedagogical purposes (%)
SCHBSP.2T3.WCOMPUT,EST,2014,100,NA,NA,Proportion of secondary schools with access to computers for pedagogical purposes (%)
SCHBSP.2T3.WCOMPUT,EST,2015,100,NA,NA,Proportion of secondary schools with access to computers for pedagogical purposes (%)
SCHBSP.2T3.WCOMPUT,EST,2016,100,NA,NA,Proportion of secondary schools with access to computers for pedagogical purposes (%)
SCHBSP.2T3.WCOMPUT,EST,2017,100,NA,NA,Proportion of secondary schools with access to computers for pedagogical purposes (%)
SCHBSP.2T3.WCOMPUT,EST,2018,100,NA,NA,Proportion of secondary schools with access to computers for pedagogical purposes (%)
SCHBSP.2T3.WCOMPUT,EST,2019,100,NA,NA,Proportion of secondary schools with access to computers for pedagogical purposes (%)
SCHBSP.2T3.WCOMPUT,EST,2020,100,NA,NA,Proportion of secondary schools with access to computers for pedagogical purposes (%)
SCHBSP.2T3.WCOMPUT,EST,2021,100,NA,NA,Proportion of secondary schools with access to computers for pedagogical purposes (%)
SCHBSP.2T3.WCOMPUT,EST,2022,98.03275299,NA,NA,Proportion of secondary schools with access to computers for pedagogical purposes (%)
SCHBSP.2T3.WCOMPUT,NPL,2011,4.213759899,NA,NA,Proportion of secondary schools with access to computers for pedagogical purposes (%)
SCHBSP.2T3.WCOMPUT,NPL,2020,70.77497101,NA,NA,Proportion of secondary schools with access to computers for pedagogical purposes (%)
SCHBSP.2T3.WCOMPUT,NPL,2023,46.94420453,NA,NA,Proportion of secondary schools with access to computers for pedagogical purposes (%)
SCHBSP.2T3.WCOMPUT,NPL,2024,58.16804782,NA,NA,Proportion of secondary schools with access to computers for pedagogical purposes (%)
SCHBSP.2T3.WCOMPUT,SLE,2017,21.44622991,NA,NA,Proportion of secondary schools with access to computers for pedagogical purposes (%)
SCHBSP.2T3.WCOMPUT,SLE,2018,15.34090909,NA,NA,Proportion of secondary schools with access to computers for pedagogical purposes (%)
SCHBSP.2T3.WCOMPUT,SLE,2019,10.59397163,NA,NA,Proportion of secondary schools with access to computers for pedagogical purposes (%)
SCHBSP.2T3.WCOMPUT,SLE,2020,10,NA,NA,Proportion of secondary schools with access to computers for pedagogical purposes (%)
SCHBSP.2T3.WCOMPUT,SLE,2021,6.460980036,NA,NA,Proportion of secondary schools with access to computers for pedagogical purposes (%)
SCHBSP.2T3.WCOMPUT,SLE,2022,8.037196945,NA,NA,Proportion of secondary schools with access to computers for pedagogical purposes (%)
SCHBSP.2T3.WCOMPUT,SLE,2023,8.70215311,NA,NA,Proportion of secondary schools with access to computers for pedagogical purposes (%)
SCHBSP.2T3.WCOMPUT,USA,2012,100,NA,NA,Proportion of secondary schools with access to computers for pedagogical purposes (%)
SCHBSP.2T3.WCOMPUT,USA,2015,100,NA,NA,Proportion of secondary schools with access to computers for pedagogical purposes (%)
SCHBSP.2T3.WCOMPUT,USA,2018,100,NA,NA,Proportion of secondary schools with access to computers for pedagogical purposes (%)
SCHBSP.2T3.WCOMPUT,USA,2019,100,NA,NA,Proportion of secondary schools with access to computers for pedagogical purposes (%)
SCHBSP.2T3.WCOMPUT,USA,2022,100,NA,NA,Proportion of secondary schools with access to computers for pedagogical purposes (%)
SCHBSP.1.WCOMPUT,EST,2011,100,NA,NA,Proportion of primary schools with access to computers for pedagogical purposes (%)
SCHBSP.1.WCOMPUT,EST,2012,100,NA,NA,Proportion of primary schools with access to computers for pedagogical purposes (%)
SCHBSP.1.WCOMPUT,EST,2013,100,NA,NA,Proportion of primary schools with access to computers for pedagogical purposes (%)
SCHBSP.1.WCOMPUT,EST,2014,100,NA,NA,Proportion of primary schools with access to computers for pedagogical purposes (%)
SCHBSP.1.WCOMPUT,EST,2015,100,NA,NA,Proportion of primary schools with access to computers for pedagogical purposes (%)
SCHBSP.1.WCOMPUT,EST,2016,100,NA,NA,Proportion of primary schools with access to computers for pedagogical purposes (%)
SCHBSP.1.WCOMPUT,EST,2017,100,NA,NA,Proportion of primary schools with access to computers for pedagogical purposes (%)
SCHBSP.1.WCOMPUT,EST,2018,100,NA,NA,Proportion of primary schools with access to computers for pedagogical purposes (%)
SCHBSP.1.WCOMPUT,EST,2019,100,NA,NA,Proportion of primary schools with access to computers for pedagogical purposes (%)
SCHBSP.1.WCOMPUT,EST,2020,100,NA,NA,Proportion of primary schools with access to computers for pedagogical purposes (%)
SCHBSP.1.WCOMPUT,EST,2021,100,NA,NA,Proportion of primary schools with access to computers for pedagogical purposes (%)
SCHBSP.1.WCOMPUT,NPL,2011,0.3396199942,NA,NA,Proportion of primary schools with access to computers for pedagogical purposes (%)
SCHBSP.1.WCOMPUT,NPL,2020,31.62532043,NA,NA,Proportion of primary schools with access to computers for pedagogical purposes (%)
SCHBSP.1.WCOMPUT,NPL,2022,12.06354749,NA,NA,Proportion of primary schools with access to computers for pedagogical purposes (%)
SCHBSP.1.WCOMPUT,NPL,2023,19.15232995,NA,NA,Proportion of primary schools with access to computers for pedagogical purposes (%)
SCHBSP.1.WCOMPUT,NPL,2024,27.28449246,NA,NA,Proportion of primary schools with access to computers for pedagogical purposes (%)
SCHBSP.1.WCOMPUT,SLE,2017,2.662721893,NA,NA,Proportion of primary schools with access to computers for pedagogical purposes (%)
SCHBSP.1.WCOMPUT,SLE,2018,2.570694087,NA,NA,Proportion of primary schools with access to computers for pedagogical purposes (%)
SCHBSP.1.WCOMPUT,SLE,2019,1.817165222,NA,NA,Proportion of primary schools with access to computers for pedagogical purposes (%)
SCHBSP.1.WCOMPUT,SLE,2020,1.595441595,NA,NA,Proportion of primary schools with access to computers for pedagogical purposes (%)
SCHBSP.1.WCOMPUT,SLE,2021,1.009557141,NA,NA,Proportion of primary schools with access to computers for pedagogical purposes (%)
SCHBSP.1.WCOMPUT,SLE,2022,1.634512326,NA,NA,Proportion of primary schools with access to computers for pedagogical purposes (%)
SCHBSP.1.WCOMPUT,SLE,2023,1.539482415,NA,NA,Proportion of primary schools with access to computers for pedagogical purposes (%)
SCHBSP.1.WCOMPUT,USA,2015,100,NA,NA,Proportion of primary schools with access to computers for pedagogical purposes (%)
SCHBSP.1.WCOMPUT,USA,2016,73.59816742,NA,NA,Proportion of primary schools with access to computers for pedagogical purposes (%)
SCHBSP.1.WCOMPUT,USA,2019,100,NA,NA,Proportion of primary schools with access to computers for pedagogical purposes (%)
SCHBSP.3.WELEC,EST,2014,100,NA,NA,
SCHBSP.3.WELEC,EST,2015,100,NA,NA,
SCHBSP.3.WELEC,EST,2016,100,NA,NA,
SCHBSP.3.WELEC,EST,2017,100,NA,NA,
SCHBSP.3.WELEC,EST,2018,100,NA,NA,
SCHBSP.3.WELEC,EST,2019,100,NA,NA,
SCHBSP.3.WELEC,EST,2020,100,NA,NA,
SCHBSP.3.WELEC,EST,2021,100,NA,NA,
SCHBSP.3.WELEC,NPL,2020,86.3859024,NA,NA,
SCHBSP.3.WELEC,NPL,2021,80.03481521,NA,NA,
SCHBSP.3.WELEC,NPL,2022,76.63773413,NA,NA,
SCHBSP.3.WELEC,NPL,2023,76.86165441,NA,NA,
SCHBSP.3.WELEC,NPL,2024,77.30677712,NA,NA,
SCHBSP.3.WELEC,SLE,2017,25.43640898,NA,NA,
SCHBSP.3.WELEC,SLE,2018,33.73493976,NA,NA,
SCHBSP.3.WELEC,SLE,2019,55.21669342,NA,NA,
SCHBSP.3.WELEC,SLE,2020,55.625,NA,NA,
SCHBSP.3.WELEC,SLE,2021,51.45631068,NA,NA,
